message-size,1-node-std-shm,1-node-buf-shm,1-node-std-net,1-node-buf-net,2-node-std-samehost,2-node-buf-samehost,2-node-std-diffhost,2-node-buf-diffhost
1,23.885053,4.711078,25.371655,4.905906,0.220272,0.187475,0.222799,0.204881
2,50.156740,9.498720,52.149114,10.033707,0.325054,0.403205,0.052346,0.425967
4,98.918083,19.475086,101.125815,20.022682,0.666071,0.073085,0.928217,0.850901
8,189.735038,38.748250,191.796217,40.171041,0.141246,1.707848,1.875032,1.700536
16,331.391586,77.152006,347.001017,79.729046,3.562631,3.159909,2.272652,3.361030
32,687.594427,154.066050,715.333566,157.908940,7.117227,0.588520,6.442389,6.715393
64,1286.634208,301.720010,1325.351885,308.968847,14.616565,13.738328,14.567907,1.613531
128,2281.894150,604.129794,2268.309567,605.872347,2.350499,27.615035,29.003928,26.902590
256,4228.674668,1162.521730,4295.752491,1171.582824,56.855328,54.079836,6.604353,52.938449
512,7765.849034,2213.381067,7988.298391,2251.167903,113.892857,9.428928,115.919881,105.258593
1024,13092.797922,4300.968007,14015.397776,4258.764662,18.494343,188.960940,196.197359,184.585572
2048,19877.464362,7193.063330,20483.200500,7180.650286,276.339855,249.855126,257.637406,48.022109
4069,27406.586513,11008.209629,26512.667509,11144.867462,490.123913,386.609425,503.186376,421.321967
8192,34127.778682,14593.350312,34050.202955,14995.080654,746.516686,198.978631,191.965038,747.073551
16834,35487.807767,17816.411659,35198.925814,17794.491489,372.811513,813.298818,1578.222856,360.228317
32768,38229.781339,20572.112437,38307.294663,20129.696109,1775.809503,1315.429649,2509.589179,2435.964166
65536,45654.524575,22273.104547,45786.845696,22054.390577,1063.456009,1424.171505,1294.429404,1273.222020
131072,50492.415852,24156.841063,50962.512948,23970.875839,1037.975609,1065.565510,1874.174439,1759.319360
262144,49252.115506,26307.875169,49271.280767,26190.889584,1828.450163,1888.339320,2202.223814,2129.379899